,1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1
DiskANN,4117.35,4205.48,4198.93,4221.12,4168.09,4206.16,4161.8,4131.85,4040.91,3809.73
HNSW,3478.39,2135.83,1313.64,936.22,690.38,545.05,336.3,,140.28,63.95
FreshDiskANN,367.57,344.41,332.12,317.76,308.51,285.76,259.96,206.07,158.36,82
OdinANN,3709.98,3152.7,1045.93,611.66,389.52,313.47,232.92,,59.4,13.52
Shine,262.13,497.27,350.22,292.85,156.49,140.82,86.75,59.91,39.27,18.98
